file,text
data/chunk_0001.wav,改变你的心智模式
data/chunk_0002.wav,别让他人为你的成败负责
data/chunk_0003.wav,金智究竟是个什么玩意儿呢咱们先来听一个小故事
data/chunk_0004.wav,话说在一条非常非常狭窄的山路上
data/chunk_0005.wav,由于货车司机正在开着车爬坡
data/chunk_0006.wav,快到这坡顶的时候呢
data/chunk_0007.wav,迎面来了一辆大卡车
data/chunk_0008.wav,这卡车司机探出个脑袋伸手指了指对这货车司机
data/chunk_0009.wav,喊了一聲豬
data/chunk_0010.wav,这货车司机一听气坏了哎我操你骂我马上伸出头
data/chunk_0011.wav,对着这车的背影大声骂道说你他妈才是猪你们全家都是猪结果呢
data/chunk_0012.wav,等这货车司机回过头定睛一看
data/chunk_0013.wav,前边的下坡路上有一大群猪您看看对面的司机
data/chunk_0014.wav,出于好心 想提醒提醒这位货车司机小心前面有一群猪
data/chunk_0015.wav,"但是呢,这司机的固定思维模式"
data/chunk_0016.wav,反正那个是认做了骂人的脏话没错
data/chunk_0017.wav,这种固定思维模式就是所谓的心智模式如果把心智模式呢比作是一套大脑的内部程序那么智商这是硬件心智模式呢就是软件优秀的人
data/chunk_0018.wav,不一定有着超出常人的智商。
data/chunk_0019.wav,但是他一定有一套運作良好的後台程序使得他的心態很良好精神百倍
data/chunk_0020.wav,您不信是吧 别着急
data/chunk_0021.wav,我再跟您說一個老土土的掉渣的成功學的故事曾經啊
data/chunk_0022.wav,有一個酗酒成性的酒鬼父親
data/chunk_0023.wav,他有一对双胞胎儿子
data/chunk_0024.wav,这大儿子想了说哎呦
data/chunk_0025.wav,我有这么一老爸天天喝酒那我咋办呢我必须得要更加努力才能混得好啊
data/chunk_0026.wav,而小儿子的心智模式呢恰恰相反他想 坏完了
data/chunk_0027.wav,完了完了完了完了我有这么一老爸天天喝酒我怎么可能混得好呢于是乎大儿子成为了成功人士小儿子呢一生也是穷困潦倒
data/chunk_0028.wav,如果你去问他们俩为什么能够过上今天这种生活
data/chunk_0029.wav,他们会回答你同样的一句话没办法呀谁让我摊上这样的一个爹呢
data/chunk_0030.wav,"您瞧,不同的心智模式竟然能够让两个条件相同的人成长成为截然相反的样子。所以啊,"
data/chunk_0031.wav,"优秀的秘密是什么呢?对,那就是"
data/chunk_0032.wav,"我的命运,我做主的心智模式。"
data/chunk_0033.wav,有钱人为什么不幸福?
data/chunk_0034.wav,原来是心智模式在作怪
data/chunk_0035.wav,如果我有1000万那我就要就开始设计了这种梦一夜抱负的梦相信大家伙可能没少做
data/chunk_0036.wav,收里大把大把的银子花不完想买啥就买啥这样的生活那是想起来都美呀怎么可能不幸福呢
data/chunk_0037.wav,不过呢 您还别说 学者研究证明 金钱与幸福的相关性是呈抛物现状
data/chunk_0038.wav,当人们身无分文的时候对于幸福的满意度也低这不难理解流浪汉他肯定不会说自己过得很幸福
data/chunk_0039.wav,"但是,当你从一无所有到小康,这个阶段的"
data/chunk_0040.wav,您的这幸福指数会蹭的一下蹿上去一路飙到最高指
data/chunk_0041.wav,不過啊當你越來越有錢的時候錢可能對你來講只是個符號的時候那這時候呢金錢跟幸福呢基本上就沒什麼關係了搞不好呢還會有可能來個大跳水
data/chunk_0042.wav,這裡邊還有一位張先生那就是典型的不快樂的有錢人
data/chunk_0043.wav,"九十年代初他下岗,在家门口开了一小店,穷的是叮当响了"
data/chunk_0044.wav,后来转行做剑材生意
data/chunk_0045.wav,刚刚好赶上了当时的北京房价腾飞的黄金时代一月就成为了这个身价几千万的主
data/chunk_0046.wav,于是乎呢大摇大摆的站出来
data/chunk_0047.wav,问了个牛逼闪闪的问题说说为什么我这么有钱我还不快乐呢
data/chunk_0048.wav,咱们先来看一看张先生原来的状况肯定显然是属于穷光蛋到小康的阶段这个阶段
data/chunk_0049.wav,幸福与快乐成正比于是乎张先生就形成一个固定的心智模式我能赚钱我就幸福可是
data/chunk_0050.wav,等到他遇过这拐点
data/chunk_0051.wav,幸福和金钱的相关性变弱
data/chunk_0052.wav,"这个时候他还傻乎乎的坚持,而认为钱就等于幸福那一套。"
